VIEWPOINT_ID,COUNTLINE_ID,NAME,LATITUDE_START_LINE,LONGITUDE_START_LINE,LATITUDE_END_LINE,LONGITUDE_END_LINE,DIRECTION_IN,DIRECTION_OUT,EARLIEST,LATEST
11881,57997,Victoria St road,-41.291359,174.775116,-41.29134,174.77507,NE,,2025-12-05,2026-08-05
11880,57998,Victoria St crossing,-41.291229,174.775177,-41.291199,174.775208,SE,NW,2025-12-05,2026-08-05
11880,57999,Victoria St road,-41.291229,174.775177,-41.291309,174.775345,SW,NE,2025-12-05,2026-08-05
11882,58000,Dixon St road south Bound,-41.291359,174.775284,-41.29134,174.775284,E,,2025-12-05,2026-08-05
11882,58001,Dixon St road south East Bound,-41.291359,174.775391,-41.291389,174.775375,W,,2025-12-05,2026-08-05
11882,58002,Dixon St road east Bound1,-41.291328,174.775406,-41.291359,174.775391,W,,2025-12-05,2026-08-05
11882,58003,Dixon St crossing,-41.291321,174.77536,-41.291328,174.775391,S,N,2025-12-05,2026-08-05
3205,58725,Molesworth cycle RHS 1,-41.275009,174.777893,-41.275009,174.777908,S,N,2026-02-12,2026-06-25
9462,59090,Thorndon Quay road bus Lane,-41.277649,174.780563,-41.27766,174.780594,SW,NE,2026-04-07,2026-08-05
9462,59391,Thorndon Quay road exit,-41.27763,174.780685,-41.277672,174.780655,NW,SE,2026-04-08,2026-08-05
9462,59392,Thorndon Quay cycle Lane,-41.277569,174.78064,-41.277569,174.78067,S,N,2026-04-08,2026-08-05
9462,59393,Thorndon Quay road southbound,-41.277599,174.780502,-41.277611,174.780533,SW,,2026-04-07,2026-08-05
9462,59394,Thorndon Quay path,-41.27758,174.78067,-41.277592,174.780701,SW,NE,2026-04-08,2026-08-05
9462,59395,Thorndon Quay road northbound,-41.27758,174.780472,-41.277592,174.780502,,NE,2026-04-08,2026-08-05
9027,60729,Tasman St path RHS,-41.299599,174.778091,-41.299599,174.778122,S,N,2026-07-10,2026-08-05
9027,60730,Tasman St path LHS,-41.299568,174.777939,-41.29958,174.777969,SW,NE,2026-07-10,2026-08-05
9027,60731,Tasman St road,-41.299591,174.777985,-41.299591,174.778061,S,N,2026-07-10,2026-08-05
